img;norma;equivalente;desc;inox;aco;aluminio;outros;img_aux;img
pfm_7971_1_opt.jpg;DIN 7971;ISO 1481;Parafuso Cabeça Queijo com Fenda Auto-Roscante;;;;;pfm_7971_2_opt.jpg;
pfm_7972_1_opt.jpg;DIN 7972;ISO 1482;Parafuso Cabeça de Embeber com Fenda Auto-Roscante;;;;;pfm_7972_2_opt.jpg;
pfm_7973_1_opt.jpg;DIN 7973;ISO 1483;Parafuso Cabeça Lentilha com Fenda Auto-Roscante;;;;;pfm_7973_2_opt.jpg;
pfm_7976_1_opt.jpg;DIN 7976;ISO 1479;Parafuso Cabeça Sextavada Auto-Roscante;;;;;pfm_7976_2_opt.jpg;
pfm_7981_1_opt.jpg;DIN 7981;ISO 7049;Parafuso Cabeça Oval Phillips Auto-Roscante;;;;;pfm_7981_2_opt.jpg;
pfm_7981_1_opt.jpg;DIN 7981;ISO 7049;Parafuso Cabeça Oval Torx Auto-Roscante;;;;;pfm_7981_torx_2_opt.jpg;
pfm_7982_1_opt.jpg;DIN 7982;ISO 7050;Parafuso Cabeça de Embeber Phillips Auto-Roscante;;;;;pfm_7982_2_opt.jpg;
pfm_7982_1_opt.jpg;DIN 7982;ISO 7050;Parafuso Cabeça de Embeber Torx Auto-Roscante;;;;;pfm_7982_torx_2_opt.jpg;
pfm_7983_1_opt.jpg;DIN 7983;ISO 7051;Parafuso Cabeça Lentilha Phillips Auto-Roscante;;;;;pfm_7983_2_opt.jpg;
